name,address,phone,timeOpen,ratingAverage,priceRange,details
Rbar,"8-15 Tôn Đức Thắng, Quận 1 Renaissance Riverside Hotel Saigon, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3822 0033,Đang mở cửa: 07:00 SA - 11:00 CH,"5,0",100.000 ₫ - 500.000 ₫,"100.000 ₫ - 500.000 ₫, Cà phê, Quầy bar, Quốc tế, Quán bar phục vụ đồ ăn, Đêm muộn, Đồ uống, Bữa trưa, Bữa tối"
Làng Rau Sạch Củ Chi,"107 Tran Van Cham ,Phuoc Vinh An ,Cu Chi, Thành phố Hồ Chí Minh 84 Việt Nam",+84 97 350 24 34,Đang mở cửa: 07:30 SA - 9:00 CH,"5,0",Kiểu Việt,"Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa trưa, Bữa tối, Bữa sáng"
Signature Restaurant,"Sheraton Saigon Hotel 88 Dong Khoi Street, District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3827 2828,Đang đóng cửa:  Xem tất cả giờ,"5,0",333.333 ₫ - 1.785.714 ₫,"333.333 ₫ - 1.785.714 ₫, Kiểu Tây nam, Bữa tối"
The Posh Duck Kitchen,"Lô 9 Đường số 7 Quận 7, Tân Thuận Đông, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 96 112 47 75,Đang đóng cửa:  Xem tất cả giờ,"5,0",119.048 ₫ - 1.190.476 ₫,"119.048 ₫ - 1.190.476 ₫, Kiểu Âu, Kiểu Á, Phù hợp với người ăn chay, Tùy chọn ăn chay"
"Hum, Cafe & Restaurant","32 Võ Văn Tần Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 89 918 92 29,Đang mở cửa: 10:00 SA - 10:00 CH,"4,5",8 ₫ - 20 ₫,"8 ₫ - 20 ₫, Kiểu Việt, Kiểu Á, Tốt cho sức khỏe, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Baba's Kitchen,"274 Bùi Viện Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3838 6661,Đang mở cửa: 11:00 SA - 10:30 CH,"4,5",119.048 ₫ - 238.095 ₫,"119.048 ₫ - 238.095 ₫, Kiểu Ấn Độ, Kiểu Á, Tốt cho sức khỏe, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten"
Benaras Heights (Fiery Tandoor & Rooftop Bar),"15 Đ. Tôn Đức Thắng, Quận 1 21/F, Khách Sạn Renaissance Riverside Sài Gòn, Thành phố Hồ Chí Minh Việt Nam",+84 98 515 70 15,Đang mở cửa: 5:00 CH - 11:00 CH,"5,0",357.143 ₫ - 2.380.952 ₫,"357.143 ₫ - 2.380.952 ₫, Kiểu Ấn Độ, Quầy bar, Đồ nướng, Kiểu Á, Thịt nướng, Quán rượu, Phù hợp với người ăn chay, Tùy chọn ăn chay"
Nhà Hàng Noir.,"178-180D Hai Bà Trưng Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 6263 2525,Đang mở cửa: 5:30 CH - 11:00 CH,"5,0",500.000 ₫ - 690.476 ₫,"500.000 ₫ - 690.476 ₫, Kiểu Âu, Kiểu Á, Kiểu Việt, Tốt cho sức khỏe, Quốc tế, Món kết hợp, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
"Parsley - Steak, Pasta and More","130 Nguyễn Trãi, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 91 225 08 42,Đang mở cửa: 11:00 SA - 10:00 CH,"5,0",95.000 ₫ - 195.000 ₫,"95.000 ₫ - 195.000 ₫, Nhà hàng bít tết, Quốc tế, Kiểu Âu, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Latest Recipe,"3C Đ. Tôn Đức Thắng Le Méridien Saigon, Mezzanine Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 28-62636688,Đang mở cửa: 06:00 SA - 10:00 CH,"4,5",238.095 ₫ - 2.404.762 ₫,"238.095 ₫ - 2.404.762 ₫, Quốc tế, Kiểu Việt, Thịt nướng, Tùy chọn ăn chay, Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten"
B3 Steakhouse & Craft Beer,"14 Nguyễn Huệ, Bến Nghé, Quận 1 Level 1, Thành phố Hồ Chí Minh Việt Nam",+84 166 519 9846,Đang mở cửa: 3:00 CH - 11:00 CH,"4,5",119.048 ₫ - 595.238 ₫,"119.048 ₫ - 595.238 ₫, Nhà hàng bít tết, Kiểu Âu, Tùy chọn đồ ăn không có gluten"
Italiani's Pizza,"17 Hàn Thuyên, Thành phố Hồ Chí Minh Việt Nam",+84 90 997 49 92,Đang mở cửa: 11:00 SA - 10:00 CH,"5,0",190.476 ₫ - 357.143 ₫,"190.476 ₫ - 357.143 ₫, Kiểu Ý, Pizza, Phù hợp với người ăn chay, Tùy chọn ăn chay"
Xưởng Phở,"118 Lê Lai, phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh Việt Nam",+84 93 883 80 12,Đang mở cửa: 12:00 SA - 11:59 CH,"5,0",71.429 ₫ - 238.095 ₫,"71.429 ₫ - 238.095 ₫, Kiểu Á, Cửa hàng thức ăn ngon, Bản địa, Kiểu Việt, Nhà hàng bia, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống"
Moo Beef Steak - Prime,"35-37 Ngô Đức Kế Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3822 8628,Đang mở cửa: 10:30 SA - 2:00 CH5:00 CH - 10:00 CH,"5,0",Nhà hàng bít tết,"Nhà hàng bít tết, Phù hợp với người ăn chay, Tùy chọn đồ ăn không có gluten, Bữa trưa, Bữa tối, Đồ uống"
"Shamballa Vegetarian, Restaurant & Tea House","17-19 Trịnh Văn Cấn Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 91 787 67 88,Đang mở cửa: 10:00 SA - 10:00 CH,"5,0",476.190 ₫ - 2.380.952 ₫,"476.190 ₫ - 2.380.952 ₫, Kiểu Việt, Tốt cho sức khỏe, Kiểu Á, Súp, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Home Saigon Restaurant,"185/28 Phạm Ngũ Lão Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 91 923 19 56,Đang mở cửa: 07:00 SA - 11:30 CH,"5,0",50.000 ₫ - 450.000 ₫,"50.000 ₫ - 450.000 ₫, Món kết hợp, Kiểu Việt, Kiểu Á, Bữa trưa, Bữa tối, Bữa sáng, Bữa nửa buổi, Đêm muộn, Đồ uống"
Cyclo Resto,"131 Nguyễn Du Phường Bến Thành, Quận , Thành phố, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 97 551 30 11,Đang mở cửa: 11:30 SA - 10:00 CH,"4,5",190.476 ₫ - 571.429 ₫,"190.476 ₫ - 571.429 ₫, Kiểu Á, Kiểu Việt, Tốt cho sức khỏe, Bữa trưa, Bữa tối, Đồ uống"
Sushi Sun,"46 Nguyễn Cư Trinh Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 38377355,Đang mở cửa: 11:00 SA - 2:00 CH5:00 CH - 10:00 CH,"4,5",5 ₫ - 20 ₫,"5 ₫ - 20 ₫, Kiểu Nhật, Sushi, Kiểu Á, Thịt nướng, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Quán Ăn Ngon 138,"138 Nam Kỳ Khởi Nghĩa Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3825 7179,Đang mở cửa: 08:30 SA - 10:30 CH,"4,0",47.619 ₫ - 238.095 ₫,"47.619 ₫ - 238.095 ₫, Kiểu Á, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay"
Secret Garden 131 Calmette,"131 Calmette Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3821 1288,Đang mở cửa: 07:00 SA - 11:00 CH,"4,5",75.000 ₫ - 300.000 ₫,"75.000 ₫ - 300.000 ₫, Kiểu Á, Món kết hợp, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Shanti Indian Cuisine,"279 Pham Ngu Lao Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 94 163 93 28,Đang mở cửa: 10:00 SA - 11:00 CH,"5,0",100.000 ₫ - 300.000 ₫,"100.000 ₫ - 300.000 ₫, Kiểu Ấn Độ, Kiểu Á, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten"
Benaras Indian Bistro,"21B Đ. Tôn Đức Thắng Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 98 343 33 40,Đang mở cửa: 10:00 SA - 11:00 CH,"5,0",7 ₫ - 15 ₫,"7 ₫ - 15 ₫, Kiểu Ấn Độ, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten"
Lai Restaurant,"92-94 Nam Kỳ Khởi Nghĩa Tầng 28 Sedona Suites, 28th Floor, Ward, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 90 311 60 38,Đang mở cửa: 11:30 SA - 2:00 CH6:00 CH - 11:00 CH,"5,0","Kiểu Trung Quốc, Kiểu Á, Phong cách ẩm thực Fusion Nhật Bản","Kiểu Trung Quốc, Kiểu Á, Phong cách ẩm thực Fusion Nhật Bản, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten, Bữa trưa, Bữa tối, Đồ uống"
Moo Beef Steak 109 Ly Tu Trong,"109 Lý Tự Trọng Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 96 598 98 35,Đang mở cửa: 10:30 SA - 2:00 CH5:00 CH - 10:00 CH,"5,0",300.000 ₫ - 800.000 ₫,"300.000 ₫ - 800.000 ₫, Nhà hàng bít tết, Bữa trưa, Bữa tối"
5 Senses,"Nikko Hotel, Ground Floor Valet Parking Available, Thành phố Hồ Chí Minh Việt Nam",+84 28 6688 7888,Đang mở cửa: 3:00 CH - 12:30 SA,"5,0","Kiểu Nhật, Quầy bar, Kiểu Á, Đương đại, Quán rượu, Phong cách ẩm thực Fusion Nhật Bản","Kiểu Nhật, Quầy bar, Kiểu Á, Đương đại, Quán rượu, Phong cách ẩm thực Fusion Nhật Bản, Bữa trưa, Bữa tối, Đặt chỗ, Ăn tối phòng riêng, Chỗ ngồi, Có bãi đỗ xe, Chỉ chấp nhận tiền mặt, Chấp nhận thẻ tín dụng, Có thẻ quà tặng"
,,,,,,
Cocotte,"136/11 Lê Thánh Tôn Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 90 291 12 27,Đang mở cửa: 11:00 SA - 9:30 CH,"4,5",8 ₫ - 15 ₫,"8 ₫ - 15 ₫, Kiểu Pháp, Quầy rượu vang, Kiểu Âu, Phù hợp với người ăn chay"
Ốc Chị Em,"6B Công Trường Quốc Tế Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 90 687 01 02,,"4,0",50.000 ₫ - 200.000 ₫,"50.000 ₫ - 200.000 ₫, Kiểu Á, Kiểu Việt, Bữa tối"
Le Square Epicier Fin,"186 Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 93 837 34 41,Đang đóng cửa:  Xem tất cả giờ,"4,5",119.048 ₫ - 476.190 ₫,"119.048 ₫ - 476.190 ₫, Pizza, Cà phê, Kiểu Âu, Bữa sáng, Bữa trưa, Bữa tối, Đồ uống"
Standcraft,"33B Xuân Thủy Phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 90 301 61 63,Đang mở cửa: 4:00 CH - 12:00 SA,"5,0",40.000 ₫ - 300.000 ₫,"40.000 ₫ - 300.000 ₫, Kiểu Việt, Kiểu Tây nam, Đồ uống"
Nhà hàng Vua Cua,"376 Võ Văn Kiệt Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 1900 633387,Đang mở cửa: 10:00 SA - 11:00 CH,"4,0",47.619 ₫ - 404.762 ₫,"47.619 ₫ - 404.762 ₫, Kiểu Mỹ, Cajun & Creole, Kiểu Á, Kiểu Việt, Kiểu Singapore, Hải sản, Bữa trưa, Bữa tối"
C.TAO - Chinese Restaurant,"190-192 Võ Văn Kiệt Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 96 595 72 99,Đang mở cửa: 10:00 SA - 2:00 CH5:00 CH - 10:00 CH,"4,0",3 ₫ - 15 ₫,"3 ₫ - 15 ₫, Kiểu Trung Quốc, Kiểu Á, Tốt cho sức khỏe, Phù hợp với người ăn chay"
Kabin,"8-15 Ton Duc Thang Street, District 1 Renaissance Riverside Hotel Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 28 3822 0033,Đang mở cửa: 11:30 SA - 2:30 CH6:00 CH - 10:00 CH,"5,0",380.952 ₫ - 2.380.952 ₫,"380.952 ₫ - 2.380.952 ₫, Kiểu Trung Quốc, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten"
Garden Brasserie,"309B - 311 Nguyen Van Troi Street PARKROYAL Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",84 8 842 1111,,"4,5","Kiểu Pháp, Hải sản","Kiểu Pháp, Hải sản, Bữa sáng, Bữa trưa, Bữa tối, Đặt chỗ, Chỗ ngồi"
Miyama - Modern Tokyo Restaurant Cafe,"217 Nguyễn Văn Thủ Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 2253 1076,Đang mở cửa: 09:00 SA - 10:00 CH,"5,0",90.000 ₫ - 1.000.000 ₫,"90.000 ₫ - 1.000.000 ₫, Kiểu Nhật, Quầy bar, Cà phê, Quán rượu, Món kết hợp, Bữa sáng, Bữa trưa, Bữa tối"
Nhà Hàng Lobster Bay,"10B Kỳ Đồng Phường 9, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 90 135 91 99,Đang mở cửa: 09:00 SA - 10:00 CH,"4,0",119.048 ₫ - 2.380.952 ₫,"119.048 ₫ - 2.380.952 ₫, Hải sản, Kiểu Mỹ, Kiểu Âu, Món kết hợp, Kiểu Mỹ bản xứ, Bữa sáng, Bữa trưa, Bữa tối, Đồ uống"
Rơm BBQ,"2-4-6 Lưu Văn Lang, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 28 3822 0060,Đang mở cửa: 3:00 CH - 11:00 CH,"4,0","Đồ nướng, Kiểu Việt","Đồ nướng, Kiểu Việt, Bữa tối, Bữa trưa, Đêm muộn, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn"
13% Gastro Wine,"3A1 Ngô Văn Năm Bến Nghé, Quận 1, Thành phố Hồ Chí Minh Việt Nam",+84 90 455 18 12,Đang mở cửa: 11:30 SA - 12:00 SA,"5,0",357.143 ₫ - 1.190.476 ₫,"357.143 ₫ - 1.190.476 ₫, Kiểu Địa Trung Hải, Thịt nướng, Quầy rượu vang, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống"
The Monkey Gallery DESSERT BAR,"91 Mạc Thị Bưởi, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh Việt Nam",+84 90 910 61 87,Đang mở cửa: 3:00 CH - 11:00 CH,"5,0",119.048 ₫ - 357.143 ₫,"119.048 ₫ - 357.143 ₫, Cà phê, Kiểu Việt, Quầy rượu vang, Đêm muộn, Đồ uống"
Opus Saigon,"12 Phan Kế Bình ĐaKao, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3911 7888,Đang mở cửa: 11:00 SA - 2:30 CH5:00 CH - 12:00 SA,"4,0",750 ₫ - 3.500 ₫,"750 ₫ - 3.500 ₫, Quầy bar, Hải sản, Kiểu Á, Đương đại, Quán rượu, Kiểu Việt, Tốt cho sức khỏe, Quầy rượu vang, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống"
ARTO House,"19B Ngô Quang Huy, Thao Dien Ward, Thu Duc, HCMC, Thành phố Hồ Chí Minh Việt Nam",+84 8 6618 8801,Đang mở cửa: 09:00 SA - 12:00 SA,"5,0",40.000 ₫ - 380.000 ₫,"40.000 ₫ - 380.000 ₫, Đương đại, Món kết hợp, Kiểu Pháp, Kiểu Đức, Kiểu Âu, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống"
Cosigon Restaurant Cafe Lounge,"25 Thu Khoa Huan, Ben Thanh Ward, District 1, HCMC., Thành phố Hồ Chí Minh 70000 Việt Nam",+84 8 6672 5678,Đang đóng cửa:  Xem tất cả giờ,"4,5","Hải sản, Đồ ăn nhanh, Kiểu Á, Kiểu Việt","Hải sản, Đồ ăn nhanh, Kiểu Á, Kiểu Việt, Bữa tối, Bữa sáng, Bữa trưa, Đêm muộn, Chỗ ngồi, Đặt chỗ, Dịch vụ bàn"
Swan Cafe & Bakery,"05 Nguyễn Trãi Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 100000 Việt Nam",+84 90 833 03 30,Đang mở cửa: 07:00 SA - 12:00 SA,"4,5",Cà phê,"Cà phê, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống, Ngồi ngoài trời, Bữa ăn tự chọn, Chỗ ngồi, Bãi đỗ xe đường phố, Thanh toán điện tử, Chấp nhận thẻ tín dụng"
ChinChin Bar,"75-77 Hồ Tùng Mậu Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 93 448 48 67,,"4,5",3 ₫ - 2.000.000 ₫,"3 ₫ - 2.000.000 ₫, Quầy bar, Quầy rượu vang, Bữa tối, Đêm muộn, Đồ uống"
Beirut Restaurant - Villa & Pool,"43 Trần Ngọc Diện Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3822 2188,Đang mở cửa: 3:00 CH - 01:00 SA,"3,5",50.000 ₫ - 500.000 ₫,"50.000 ₫ - 500.000 ₫, Quầy bar, Kiểu Địa Trung Hải, Quán rượu, Kiểu Ả Rập, Bữa trưa, Bữa tối"
Mandala,"110 Suong Nguyet Anh, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 8 3926 0638,,"4,0","Kiểu Á, Kiểu Việt","Kiểu Á, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa trưa, Bữa tối"
Quán Ăn Út Cà Mau,"215 Điện Biên Phủ, P.6, Q.3, Thành phố Hồ Chí Minh Việt Nam",+84 8 3832 2742,,"4,0","Kiểu Việt, Hải sản","Kiểu Việt, Hải sản"
Nhà Hàng Con Voi Vàng,"105 Trần Quốc Hoàn Trường Sơn, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3811 1519,Đang mở cửa: 11:00 SA - 2:00 CH5:00 CH - 10:00 CH,"5,0",Kiểu Thái,"Kiểu Thái, Bữa trưa, Bữa tối, Đồ uống, Giao hàng, Cửa hàng bán thức ăn mang về, Bữa ăn tự chọn, Ăn tối phòng riêng, Chỗ ngồi, Đỗ xe có người coi, Có ghế ăn cho bé, Lối vào ra cho xe lăn, Quầy bar đầy đủ, Rượu và bia, Wifi miễn phí, Chấp nhận thẻ tín dụng"
Nhà Hàng Chay Bà Xã Nguyễn Trãi,"245/5 Nguyễn Trãi Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 89 918 31 88,Đang mở cửa: 08:00 SA - 10:00 CH,"5,0","Kiểu Bữa tối, Tốt cho sức khỏe, Kiểu Đài Loan","Kiểu Bữa tối, Tốt cho sức khỏe, Kiểu Đài Loan, Bữa trưa, Bữa sáng, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống, Giao hàng, Ăn tối phòng riêng, Chỗ ngồi, Bãi đỗ xe đường phố, Đỗ xe có người coi, Có ghế ăn cho bé, Thanh toán điện tử, Wifi miễn phí, Chấp nhận thẻ tín dụng"
Waffle Place (Love at first bite),"120F Đường Đinh Tiên Hoàng, Phường Đakao, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",+(84)62910874,Đang mở cửa: 12:00 SA - 9:30 CH,"4,5",35.000 ₫ - 90.000 ₫,"35.000 ₫ - 90.000 ₫, Kiểu Mỹ, Bữa nửa buổi, Bữa sáng, Bữa trưa, Bữa tối"
Tandoor,"39A-39B Ngô Đức Kế Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",+84 28 3930 4839,Đang mở cửa: 11:00 SA - 11:00 CH,"4,0",166.667 ₫ - 595.238 ₫,"166.667 ₫ - 595.238 ₫, Kiểu Ấn Độ, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten"
Quán cafe Saigon Vieux,"Tầng 2, Chung Cư 42 Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",+84 98 910 46 33,Đang mở cửa: 09:00 SA - 10:00 CH,"4,5",50.000 ₫ - 100.000 ₫,"50.000 ₫ - 100.000 ₫, Cà phê, Kiểu Việt, Đồ uống, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi"
