id,name,phone,timeOpen,ratingAverage,details,Address,Longitude,Latitude
39,Akoma Cafe & Fusion,+84 90 300 94 41,Đang mở cửa: 07:30 SA - 10:00 CH,5.0,"Cà phê, Kiểu Ý, Món kết hợp, Kiểu Bữa tối, Súp, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","05 Nguyễn Trãi Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 100000 Việt Nam",106.6931723,10.7710147
40,Al Fresco's,+84 8 3547 4363,,4.0,"Kiểu Ý, Pizza, Kiểu Mỹ, Bữa trưa, Bữa tối, Giao hàng, Cửa hàng bán thức ăn mang về, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn","75-77 Hồ Tùng Mậu Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7035365,10.7721183
41,Al Fresco's Mac Dinh Chi,+84 28 3823 8427,Đang mở cửa: 08:30 SA - 11:00 CH,4.0,"Kiểu Ý, Pizza, Kiểu Âu, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Giao hàng, Cửa hàng bán thức ăn mang về, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn, Đặt chỗ, Có ghế ăn cho bé","110 Suong Nguyet Anh, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6885522,10.7715906
42,Al Sham Restaurant,+84 98 459 71 60,Đang mở cửa: 09:00 SA - 11:00 CH,4.5,"Kiểu Ả Rập, Kiểu Li băng, Kiểu Trung Đông, Kiểu Địa Trung Hải, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten, Bữa trưa, Bữa tối, Bữa nửa buổi","215 Điện Biên Phủ, P.6, Q.3, Thành phố Hồ Chí Minh Việt Nam",106.6918959,10.784382
43,Al Sham Terrace,+84 88 935 84 01,Đang mở cửa: 11:00 SA - 10:00 CH,5.0,"Kiểu Ả Rập, Kiểu Li băng, Kiểu Địa Trung Hải, Bữa trưa, Bữa sáng, Bữa tối","245/5 Nguyễn Trãi Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6877386,10.7647975
44,Alley 50 Saigon Ultra Lounge,+84 90 231 73 64,Đang mở cửa: 5:00 CH - 01:30 SA,4.5,"Quầy bar, Quán rượu, Kiểu Á, Món kết hợp, Quầy rượu vang, Bữa tối, Đêm muộn, Đồ uống","120F Đường Đinh Tiên Hoàng, Phường Đakao, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6971278,10.7910144
45,Alley Cat Restaurant,+84 70 8980 016,Đang mở cửa: 12:00 SA - 11:59 CH,4.5,"Quốc tế, Kiểu Việt, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa sáng, Bữa tối","Tầng 2, Chung Cư 42 Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",106.704089,10.774112
46,Aloha Poke and Beer,+84 90 972 93 90,Đang đóng cửa:  Xem tất cả giờ,4.5,"Thịt nướng, Quán rượu, Quán rượu đặc sản, Kiểu Hawai, Bữa trưa, Bữa tối","110 Đường Sương Nguyệt Ánh, Phường Bến Thành Quận 1, Thành phố, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6885522,10.7715906
47,Am Dang Typhoon,+84 878 536 688,Đang mở cửa: 11:00 SA - 2:30 CH5:30 CH - 10:00 CH,5.0,"Kiểu Á, Kiểu Thái, Bữa trưa, Bữa tối, Ăn tối phòng riêng, Có bãi đỗ xe, Chấp nhận thẻ tín dụng, Phong cách gia đình","51 Hai Bà Trưng - Bến Nghé, Thành phố Hồ Chí Minh 70000 Việt Nam",106.7047828,10.7766203
48,Ẩm Thực Chay & Café K Vegetarian,+84 90 153 90 90,Đang mở cửa: 08:00 SA - 8:00 CH,4.5,"Cà phê, Cửa hàng thức ăn ngon, Kiểu Bữa tối, Tốt cho sức khỏe, Kiểu Trung Á, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống, Giao hàng, Đặt chỗ, Bữa ăn tự chọn, Ăn tối phòng riêng, Thanh toán điện tử, Chấp nhận thẻ tín dụng, Phong cách ","38 Trương Quyền Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6926099,10.7868103
49,Ẩm Thực Chay Thông Viên,+84 93 868 38 75,,4.0,"Tốt cho sức khỏe, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa sáng, Bữa trưa, Bữa tối","100/7 Nguyễn Công Trứ P.Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh Việt Nam",106.702301,10.769751
50,Ẩm Thực Hạnh Dung,+84 8 3860 1204,,4.5,Hải sản,"54 Lê Thánh Tôn Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7029286,10.7788602
51,Ẩm thực Hương Bắc,+84 8 6660 1102,,4.5,Kiểu Việt,"178A Hai Bà Trưng Street, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6946829,10.7862382
52,Ẩm Thực Thố,+84 90 955 16 51,,5.0,Kiểu Việt,"74B Hai Ba Trung Str, District 1, Thành phố Hồ Chí Minh 70000 Việt Nam",106.703261,10.778382
53,Ẩm thực Thượng Hải,+84 90 287 78 11,,4.5,5.000 ₫ - 69.000 ₫,"6/33 Cách Mạng Tháng Tám P Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6936725,10.7722915
54,Ambrosia Café Bistro,+84 90 366 50 66,Đang mở cửa: 07:00 SA - 10:00 CH,5.0,"Món kết hợp, Kiểu Việt, Kiểu Ý, Cà phê, Kiểu Âu, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","14B15 Thảo Điền Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7834165,10.7955857
55,Amigo Grill Restaurant,+84 28 3824 1248,Đang mở cửa: 11:00 SA - 10:00 CH,4.0,"Nhà hàng bít tết, Thịt nướng, Bữa trưa, Bữa tối, Đồ uống","65 Lê Lợi Trung tâm thương mại Sài Gòn, Lô 21, Tầng 2, Quận 1, Thành phố Hồ Chí Minh Việt Nam",106.7026177,10.7755911
56,Amore Rooftop Bar,+84 91 768 61 60,Đang mở cửa: 12:00 CH - 04:00 SA,4.5,"Đồ nướng, Quầy bar, Kiểu Việt, Phù hợp với người ăn chay, Bữa tối, Đồ uống","161 Nguyễn Thái Học Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.695132,10.768112
57,Ampm Restaurant & Cafe,+84 8 7304 0044,,4.0,"Quốc tế, Kiểu Á, Kiểu Việt, Bữa tối, Bữa trưa, Chỗ ngồi, Đặt chỗ, Lối vào ra cho xe lăn, Dịch vụ bàn","73 Hoàng Văn Thái Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh 70000 Việt Nam",106.7237288,10.7302122
58,Amun Restaurant & Lounge,+84 28 6276 9179,Đang mở cửa: 10:30 SA - 11:45 CH,4.5,"Kiểu Ma rốc, Kiểu Địa Trung Hải, Món kết hợp, Kiểu Bữa tối, Quán bar phục vụ đồ ăn, Thịt kiểu Hồi giáo","86 Bui Vien Street District 1, Thành phố Hồ Chí Minh Việt Nam",106.6931699,10.7671891
59,An,+84 28 3825 8275,Đang mở cửa: 09:00 SA - 10:00 CH,4.0,"Kiểu Việt, Phù hợp với người ăn chay, Bữa trưa, Bữa tối, Bữa sáng, Đêm muộn","149/31A Lê Thị Riêng Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6898308,10.7695386
60,An Cafe Restaurant,+84 90 305 07 10,Đang đóng cửa:  Xem tất cả giờ,4.5,"Kiểu Việt, Cà phê, Kiểu Á, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","172 Lý Tự Trọng Ben Thanh Ward, District 1, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6958799,10.7732701
61,Ăn Cơm Uống Nước - Kin Khao Kin Nam,+84 93 209 90 28,Đang mở cửa: 09:00 SA - 10:30 CH,3.5,"Hải sản, Kiểu Á, Kiểu Thái, Tốt cho sức khỏe, Bữa trưa, Bữa tối, Bữa nửa buổi","S9 Hùng Vương 3, góc đường Bùi Bằng Đoàn, P. Phú Mỹ Hưng, Q.7, Thành phố Hồ Chí Minh 70000 Việt Nam",106.7099022,10.729413
62,An Nam Quan,+84 28 3910 0988,Đang mở cửa: 10:00 SA - 11:45 CH,4.5,"Kiểu Á, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay","14/2 Tôn Thất Đạm phường Nguyễn Thái Binh, quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7040699,10.7695874
63,An Vietnamese BBQ & Hotpot,+84 28 6276 8234,Đang mở cửa: 10:00 SA - 2:00 CH5:00 CH - 10:00 CH,5.0,"Đồ nướng, Bữa tối, Bữa trưa, Đặt chỗ","25 Mạc Đĩnh Chi, Quận 1, Thành phố Hồ Chí Minh Việt Nam",106.6992799,10.7847179
64,An Xanh 1958 - LearningHub Cafe,+84 94 344 20 21,Đang mở cửa: 09:30 SA - 9:30 CH,4.5,"Cà phê, Bữa trưa, Chỗ ngồi, Bãi đỗ xe có vé, Đỗ xe có người coi, Thanh toán điện tử, Wifi miễn phí, Nhà hàng không hút thuốc","47 Nguyễn Thị Diệu, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700902 Việt Nam",106.6877962,10.7748442
65,Anan Saigon,+84 90 479 29 20,Đang mở cửa: 5:00 CH - 12:00 SA,4.5,"Kiểu Việt, Quốc tế, Kiểu Á, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","18/13A Nguyễn Thị Minh Khai Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7003382,10.7857793
66,Anh Ngoai Quan,+84 776 112 112,Đang mở cửa: 06:00 SA - 12:00 SA,5.0,"Nhà hàng bia, Bữa sáng, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống","Hem 30, Hồ Hảo Hớn Cô Giang, Quân 1, Đối diện số 27, Thành phố Hồ Chí Minh Việt Nam",106.693082,10.760888
67,ANH TUKK,+84 28 3825 1676,Đang mở cửa: 11:00 SA - 10:00 CH,4.5,"Kiểu Á, Kiểu Thái, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","54 Đông Du, Thành phố Hồ Chí Minh Việt Nam",106.704643,10.6951517
68,Ann Quán,+84 28 3622 6666,Đang mở cửa: 12:00 SA - 11:59 CH,4.0,"Cửa hàng thức ăn ngon, Kiểu Việt, Nhà hàng bán bia, Kiểu Á, Quán rượu, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống","Cang du Lich Bach Dang, Q.1, Tp, Thành phố Hồ Chí Minh 70000 Việt Nam",106.6882934,10.7633665
69,Annam Cafe Gourmet,+84 8 3822 9332,,4.0,"Cà phê, Bữa trưa, Chỗ ngồi, Dịch vụ bàn","24 Trương Định Quận 1, Thành phố Hồ Chí Minh Việt Nam",106.6962715,10.7718378
70,Annamite Restaurant,+84 8 6686 5143,,4.5,"Kiểu Pháp, Giao hàng, Cửa hàng bán thức ăn mang về, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Có ghế ăn cho bé, Phục vụ đồ uống có cồn, Quầy bar đầy đủ, Rượu và bia, Chấp nhận thẻ Visa, Wifi miễn phí, Chấp nhận thẻ tín dụn","97 Xuân Thủy Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 700000 Việt Nam",106.736306,10.804251
71,Annz,+84 8 3822 2757,,4.0,"Kiểu Nhật, Sushi, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa tối","65 Lê Lợi, Quận 1, Thành phố Hồ Chí Minh Việt Nam",106.700798,10.7732879
72,Anrakutei,+84 28 3823 6378,Đang mở cửa: 11:00 SA - 11:00 CH,4.5,"Kiểu Nhật, Đồ nướng, Thịt nướng, Bữa trưa, Bữa tối, Đồ uống","219 Nguyễn Công Trứ Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.700576,10.767777
73,An's Saigon,+84 90 135 13 31,Đang mở cửa: 07:30 SA - 11:00 CH,5.0,"Món kết hợp, Kiểu Việt, Bữa sáng, Bữa trưa, Bữa tối","119B Nguyễn Văn Quá Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6339658,10.8471586
74,Ararat Restaurant & Messo Lounge,+84 773 740 160,Đang mở cửa: 08:00 SA - 10:00 CH,5.0,"Kiểu Nga, Kiểu Đông Âu, Kiểu Armenia, Kiểu Georgia, Bữa sáng, Bữa trưa, Bữa tối","37B Cô Bắc Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.6953455,10.7652004
75,Arigato Sushi,+84 93 875 42 51,Đang mở cửa: 11:00 SA - 10:00 CH,4.0,"Kiểu Nhật, Sushi, Bữa trưa, Bữa tối, Đặt chỗ","57 Nguyen Du Dist 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7005216,10.7791736
76,Arirang BBQ,+84 28 3823 1983,Đang mở cửa: 11:00 SA - 10:00 CH,4.0,"Đồ nướng, Kiểu Á, Kiểu Hàn Quốc, Bữa trưa, Bữa tối","39/18 Nguyễn Trãi Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",106.692791,10.7702249
77,ARTO House,+84 8 6618 8801,Đang mở cửa: 09:00 SA - 12:00 SA,5.0,"Đương đại, Món kết hợp, Kiểu Pháp, Kiểu Đức, Kiểu Âu, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống","14/7 Kỳ Đồng Phường 9, Quận 3, Thành phố Hồ Chí Minh 722922 Việt Nam",106.6815899,10.7839738
78,Artually Café,+84 70 8869 806,Đang mở cửa: 07:00 SA - 9:00 CH,4.5,"Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống","223A Trần Bình Trọng P. 3, Quận 5, Thành phố Hồ Chí Minh Việt Nam",106.6800888,10.7596331
79,ASA Bistro - Cafe & Restaurant,+84 90 909 81 46,Đang mở cửa: 07:00 SA - 2:00 CH5:00 CH - 10:00 CH,4.5,"Kiểu Mỹ, Cà phê, Quầy rượu vang, Tốt cho sức khỏe, Bữa trưa, Bữa tối, Bữa sáng, Đồ uống","61 Nam Ky Khoi Nghia, Thành phố Hồ Chí Minh 700000 Việt Nam",106.7004525,10.7718819
